enemy0_champion,enemy1_champion,enemy2_champion,enemy3_champion,enemy4_champion,gameId,teammate0_champion,teammate0_championDaysSinceLastPlayed,teammate0_championPoints,teammate0_playerPastWeekLoseStreak,teammate0_playerPastWeekWinRate,teammate1_champion,teammate1_championDaysSinceLastPlayed,teammate1_championPoints,teammate1_playerPastWeekLoseStreak,teammate1_playerPastWeekWinRate,teammate2_champion,teammate2_championDaysSinceLastPlayed,teammate2_championPoints,teammate2_playerPastWeekLoseStreak,teammate2_playerPastWeekWinRate,teammate3_champion,teammate3_championDaysSinceLastPlayed,teammate3_championPoints,teammate3_playerPastWeekLoseStreak,teammate3_playerPastWeekWinRate,teammate4_champion,teammate4_championDaysSinceLastPlayed,teammate4_championPoints,teammate4_playerPastWeekLoseStreak,teammate4_playerPastWeekWinRate,win
13,10,498,412,141,3074029284,117,10,10259,5,0.10606060606060606,61,1,47033,3,0.38461538461538464,80,88,31964,3,0.38461538461538464,86,57,45925,6,0.2571428571428571,18,74,78040,4,0.631578947368421,False
222,121,99,105,36,3074030910,122,116,4279,3,0.2,18,53,71361,2,0.4,7,17,130515,2,0.6190476190476191,37,100,40589,2,0.6923076923076923,64,18,139763,6,0.22580645161290322,False
245,236,56,412,43,3074043404,37,0,210802,2,0.24,254,37,174670,3,0.3125,55,4,172421,1,0.18181818181818182,145,11,64484,2,0.625,86,57,45925,6,0.25,True
101,122,106,21,555,3074078273,63,19,14450,5,0.3333333333333333,35,111,30421,1,0.75,89,20,14031,2,0.6666666666666666,86,57,45925,6,0.23684210526315788,236,59,145459,3,0.4583333333333333,True
110,99,98,163,20,3074083006,111,5,188385,4,0.6,103,16,169710,4,0.23076923076923078,22,67,7736,4,0.23076923076923078,86,57,45925,6,0.24324324324324326,120,118,24892,3,0.21818181818181817,True
141,18,43,105,92,3074112889,15,8,20606,3,0.43478260869565216,1,9,208150,2,0.09154929577464789,86,57,45925,6,0.23076923076923078,30,63,2471,4,0.3225806451612903,412,27,46999,6,0.2857142857142857,True
254,82,203,111,4,3074134488,350,56,43760,2,0.7,81,7,159221,4,0.3076923076923077,5,118,57749,7,0.26666666666666666,103,23,161299,4,0.3103448275862069,86,57,45925,6,0.2,False
103,28,67,81,53,3074157007,141,30,115194,2,0.24,86,57,45925,6,0.1951219512195122,268,117,2631,6,0.22857142857142856,99,67,15649,2,0.3333333333333333,202,3,114843,2,0.2894736842105263,False
23,245,119,25,113,3074167065,86,57,45925,6,0.21428571428571427,201,13,75255,1,0.6666666666666666,15,21,64694,1,0.7777777777777778,41,3,151711,2,0.5,254,0,502448,2,0.2916666666666667,True
7,236,82,89,60,3074189388,81,12,276529,2,0.34375,111,26,303481,1,0.6521739130434783,99,79,12351,4,0.20408163265306123,86,57,45925,6,0.23255813953488372,157,0,409792,1,0.1864406779661017,True
103,76,34,17,67,2638069279,13,503,11564,1,0.75,59,24,118696,6,0.17391304347826086,141,117,42193,4,0.25,222,38,415466,3,0.4166666666666667,12,349,47875,3,0.1724137931034483,False
35,27,90,67,143,2638312888,17,112,891418,4,0.2727272727272727,4,30,122459,2,0.2894736842105263,141,368,85763,3,0.2682926829268293,12,349,47875,3,0.1896551724137931,222,49,19551,2,0.5882352941176471,True
38,202,92,59,40,2638417628,45,398,46522,3,0.3235294117647059,131,7,52180,4,0.3333333333333333,266,94,46887,6,0.35714285714285715,67,409,123600,3,0.1864406779661017,53,495,51275,2,0.5555555555555556,False
21,31,90,131,89,2638420153,12,349,47875,3,0.1896551724137931,29,514,51302,2,0.5882352941176471,48,710,3877,2,0.5,91,460,22167,3,0.12345679012345678,141,46,46401,2,0.5714285714285714,False
55,22,1,164,421,2649759899,35,124,67619,2,0.4,38,605,9094,3,0.5,107,53,27422,4,0.47058823529411764,497,504,12061,1,0.0,498,389,12226,1,0.6666666666666666,False
3,29,42,516,33,2651977317,98,3,60667,2,0.5555555555555556,105,121,939631,1,0.6666666666666666,119,663,12015,0,1.0,64,36,61743,1,0.5,86,695,976,0,1.0,True
106,432,18,238,27,2652004751,89,692,4430,3,0.4,110,591,18403,5,0.1702127659574468,8,4,19618,3,0.7333333333333333,107,9,48405,1,0.6666666666666666,163,1,343967,0,1.0,True
83,5,222,55,98,2652213196,121,41,7303,1,0.5,142,472,5866,1,0.75,432,4,462320,6,0.4090909090909091,36,28,19262,5,0.1568627450980392,67,27,225971,8,0.0958904109589041,False
25,203,134,57,202,2670607959,31,529,4217,3,0.4090909090909091,236,66,93790,1,0.8,75,423,124565,3,0.16393442622950818,141,422,24965,0,1.0,201,2,28055,2,0.8,True
107,1,105,122,67,2670619588,41,30,88588,4,0.24324324324324326,25,429,19698,2,0.3157894736842105,81,672,10259,1,0.7619047619047619,141,422,24965,0,1.0,43,386,118445,5,0.23255813953488372,True
203,122,412,18,268,2670905577,157,135,60851,2,0.3548387096774194,1,305,29263,2,0.5454545454545454,81,3,92191,2,0.6666666666666666,141,422,24965,1,0.6666666666666666,26,90,59235,4,0.16666666666666666,False
268,57,11,81,40,2670942187,141,422,24965,1,0.75,26,90,59235,4,0.2857142857142857,18,617,65012,2,0.7,44,1,5736978,1,0.18421052631578946,14,8,147561,2,0.5,True
84,61,102,53,67,2674791194,497,504,12061,1,0.6,427,109,52793,4,0.4444444444444444,36,568,18555,3,0.5294117647058824,90,10,22567,2,0.5555555555555556,498,610,7479,6,0.24242424242424243,False
223,84,21,48,101,2680938022,202,638,282384,2,0.5263157894736842,157,35,304025,3,0.5,25,23,125239,2,0.2222222222222222,107,9,48405,1,0.0,127,50,112596,5,0.38461538461538464,False
4,41,102,22,53,2680982042,141,422,24965,1,0.5,127,50,112596,5,0.42857142857142855,202,410,69501,2,0.6875,89,8,50357,2,0.5,84,4,296866,8,0.16666666666666666,True
53,8,42,202,104,2681010182,201,547,45548,2,0.35294117647058826,4,634,12341,3,0.2037037037037037,84,4,296866,8,0.1836734693877551,141,422,24965,1,0.6666666666666666,236,53,177919,5,0.4666666666666667,True
77,12,31,103,67,2681093297,79,642,9833,3,0.22,222,466,38194,3,0.2619047619047619,28,42,25172,3,0.48148148148148145,90,139,7924,1,0.75,223,657,12278,5,0.5,True
141,98,7,117,18,2767245429,61,0,465966,3,0.4166666666666667,254,510,320579,5,0.32,202,421,47207,0,1.0,497,4,709258,2,0.48148148148148145,39,527,2359,2,0.5909090909090909,True
6,56,412,67,50,2767706350,16,47,800782,3,0.5789473684210527,131,392,71897,2,0.1625,59,0,64045,7,0.08955223880597014,92,15,230717,1,0.6111111111111112,202,421,47207,1,0.5,False
7,202,111,40,120,2767714934,39,18,103176,1,0.75,245,1,1123576,2,0.5,37,470,82516,4,0.16666666666666666,268,59,57483,1,0.5,145,38,12430,1,0.6666666666666666,True
202,37,115,28,57,2768058873,19,538,122944,3,0.65,80,544,12091,5,0.3125,222,58,113619,2,0.3333333333333333,40,8,17977,1,0.5,90,445,6925,5,0.2857142857142857,False
238,54,51,412,24,2768077013,67,409,123600,1,0.6,254,412,519448,3,0.2,240,51,277672,2,0.5714285714285714,142,41,226794,3,0.3142857142857143,63,431,124579,2,0.5454545454545454,True
154,22,43,98,45,2768123946,202,416,51085,2,0.5555555555555556,104,402,18987,2,0.2857142857142857,25,431,9100,1,0.5,8,544,4686,2,0.5416666666666666,13,543,12504,2,0.6428571428571429,False
8,38,40,106,18,2768130700,11,531,24871,0,1.0,67,409,123600,1,0.5714285714285714,43,419,64117,3,0.6,41,122,48838,4,0.5294117647058824,98,404,17083,1,0.6666666666666666,True
154,12,39,8,18,2768157199,27,544,2111,1,0.0,202,421,47207,1,0.5,14,520,57628,1,0.75,103,120,10081,4,0.5454545454545454,62,393,148249,6,0.25,False
157,24,18,105,267,2768162833,236,57,81381,1,0.5555555555555556,7,393,7865,2,0.75,86,425,62887,2,0.6875,19,394,17828,5,0.20512820512820512,497,43,338756,5,0.1702127659574468,True
75,21,121,99,37,2768202102,141,3,54469,3,0.11235955056179775,1,8,23130,2,0.3225806451612903,31,391,30829,6,0.23333333333333334,8,32,83315,3,0.17073170731707318,202,421,47207,1,0.5,False
34,143,19,164,110,2768207243,202,515,19090,6,0.22580645161290322,8,32,83315,3,0.16666666666666666,14,473,11955,2,0.45454545454545453,497,544,20822,4,0.38461538461538464,141,422,24965,2,0.45454545454545453,False
136,117,18,240,254,2768228420,67,409,123600,3,0.4166666666666667,40,1,147799,5,0.2857142857142857,23,437,4554,4,0.2857142857142857,7,506,1952,6,0.225,223,435,13954,2,0.375,False
202,238,40,157,62,2768274973,145,38,12430,4,0.38461538461538464,267,0,110861,4,0.27586206896551724,8,4,523946,5,0.16666666666666666,104,20,49254,3,0.19047619047619047,41,519,119290,3,0.15789473684210525,False
25,202,104,17,61,2768304250,26,32,26538,2,0.631578947368421,268,0,52853,7,0.125,89,432,17995,2,0.5789473684210527,18,432,66963,4,0.42857142857142855,113,544,1220,4,0.5,True
61,254,10,267,119,2768322102,63,463,31617,5,0.0,41,537,36168,2,0.0,145,38,12430,4,0.4,64,0,734793,5,0.14,99,0,508451,3,0.18181818181818182,False
498,14,19,80,12,2768349160,18,432,66963,4,0.375,24,413,60044,2,0.41935483870967744,27,1,1849593,6,0.1951219512195122,4,14,15997,1,0.5,267,510,108483,2,0.41935483870967744,False
86,267,64,81,8,2768389902,18,432,66963,4,0.35294117647058826,1,541,13838,3,0.14814814814814814,141,20,94477,3,0.2391304347826087,40,13,457367,1,0.0,266,9,380946,1,0.0,False
